Altium Designer Pick and Place Locations
C:\Users\UltraZohm\Documents\ultrazohm\uz_carrierboard\Project Outputs for UZ_CarrierBoard\05\Pick Place\PickPlace_UZ_CarrierBoard_05.csv

========================================================================================================================
File Design Information:

Date:       04/12/24
Time:       12:03
Revision:   d487ebd5247aae20c3ceb788718299a48c1130c2
Variant:    Rev05
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X16","104031-0811","9.7650","9.7725","118.4000","118.4750","6.6100","123.9250","180","104031-0811","TopLayer"
"X14","1757242","328.7000","324.7000","111.6000","111.6000","324.7000","109.0600","90","1757242","TopLayer"
"U9","2016","101.2000","101.2000","21.5000","21.5000","100.6000","22.2500","0","SIT8008BI-73-XXS-12.000000G","TopLayer"
"SW2","416131160804","59.8650","59.8650","111.9000","111.9000","61.7700","108.0900","180","DSHP04TS-S","BottomLayer"
"SW3","416131160804","52.9600","52.9600","111.9000","111.9000","54.8650","108.0900","180","DSHP04TS-S","BottomLayer"
"SW1","416131160804","66.8000","66.8000","111.9000","111.9000","68.7050","108.0900","180","DSHP04TS-S","BottomLayer"
"X4B","470531000","122.2900","121.2100","116.0000","112.1900","122.2900","116.0000","90","47053-1000-PWM4FAN","BottomLayer"
"X4A","470531000","122.2900","121.2100","105.0000","101.1900","122.2900","105.0000","90","47053-1000-PWM4FAN","BottomLayer"
"U10","7TO-PMOD","108.9715","108.9716","116.6759","114.6284","105.1616","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"U11","7TO-PMOD","215.4375","215.4376","116.6759","114.6284","211.6276","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"U12","7TO-PMOD","200.1115","200.1116","116.6759","114.6284","196.3016","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"C164","C_0201_TE","172.1600","172.1600","49.9500","49.9500","171.8900","49.9500","90","100 nF","TopLayer"
"C163","C_0201_TE","172.1600","172.1600","49.3300","49.3300","171.8900","49.3300","90","100 nF","TopLayer"
"C162","C_0201_TE","46.9500","46.9500","49.7000","49.7000","46.9500","49.4300","180","100 nF","TopLayer"
"C161","C_0201_TE","46.3000","46.3000","49.7000","49.7000","46.3000","49.4300","180","100 nF","TopLayer"
"C160","C_0201_TE","141.6800","141.6800","49.9500","49.9500","141.4100","49.9500","90","100 nF","TopLayer"
"C159","C_0201_TE","141.6800","141.6800","49.3300","49.3300","141.4100","49.3300","90","100 nF","TopLayer"
"C158","C_0201_TE","48.4500","48.4500","49.7000","49.7000","48.4500","49.4300","180","100 nF","TopLayer"
"C157","C_0201_TE","47.8000","47.8000","49.7000","49.7000","47.8000","49.4300","180","100 nF","TopLayer"
"C152","C_0201_TE","180.6630","180.6630","50.0700","50.0700","180.6630","50.3400","180","10 nF","BottomLayer"
"C151","C_0201_TE","181.3630","181.3630","50.0700","50.0700","181.3630","50.3400","180","10 nF","BottomLayer"
"C150","C_0201_TE","150.1830","150.1830","50.0700","50.0700","150.1830","50.3400","180","10 nF","BottomLayer"
"C149","C_0201_TE","150.8830","150.8830","50.0700","50.0700","150.8830","50.3400","180","10 nF","BottomLayer"
"C101","C_0201_TE","119.7030","119.7030","50.0700","50.0700","119.7030","50.3400","180","10 nF","BottomLayer"
"C100","C_0201_TE","120.4030","120.4030","50.0700","50.0700","120.4030","50.3400","180","10 nF","BottomLayer"
"C97","C_0201_TE","42.9720","42.9720","88.3000","88.3000","42.9720","88.5700","0","10 nF","TopLayer"
"C2","C_0201_TE","42.2720","42.2720","88.3000","88.3000","42.2720","88.5700","0","10 nF","TopLayer"
"C156","C_0201_TE","111.2000","111.2000","49.9500","49.9500","110.9300","49.9500","90","100 nF","TopLayer"
"C155","C_0201_TE","111.2000","111.2000","49.3299","49.3299","110.9300","49.3299","90","100 nF","TopLayer"
"C154","C_0201_TE","49.9500","49.9500","49.7000","49.7000","49.9500","49.4300","180","100 nF","TopLayer"
"C153","C_0201_TE","49.3000","49.3000","49.7000","49.7000","49.3000","49.4300","180","100 nF","TopLayer"
"C85","C_0402_TE","113.4600","113.4600","34.0000","33.9999","113.9200","33.9999","180","100 nF","TopLayer"
"C84","C_0402_TE","113.4600","113.4600","21.0000","21.0001","113.0000","21.0001","0","100 nF","TopLayer"
"C83","C_0402_TE","122.3500","122.3500","34.3000","34.2999","121.8900","34.2999","0","100 nF","BottomLayer"
"C82","C_0402_TE","122.3500","122.3500","21.0000","21.0001","122.8100","21.0001","180","100 nF","BottomLayer"
"C81","C_0402_TE","110.8500","110.8500","35.0000","35.0000","110.3900","35.0000","0","100 nF","BottomLayer"
"C80","C_0402_TE","110.3500","110.3500","21.2400","21.2401","110.8100","21.2401","180","100 nF","BottomLayer"
"C79","C_0402_TE","105.5000","105.5000","23.3500","23.3499","105.9600","23.3499","180","100 nF","TopLayer"
"C78","C_0402_TE","99.4000","99.3999","21.5000","21.5000","99.3999","21.0400","90","100 nF","TopLayer"
"C77","C_0402_TE","113.0000","113.0000","19.0500","19.0499","113.4600","19.0499","180","4.7 µF","TopLayer"
"C76","C_0402_TE","113.0000","113.0000","20.0500","20.0499","113.4600","20.0499","180","100 nF","TopLayer"
"C75","C_0402_TE","102.7000","102.7001","16.4500","16.4500","102.7001","16.9100","270","100 nF","TopLayer"
"C74","C_0402_TE","101.7000","101.7001","16.4500","16.4500","101.7001","16.9100","270","4.7 µF","TopLayer"
"C73","C_0402_TE","102.7000","102.6999","12.4500","12.4500","102.6999","11.9900","90","100 nF","TopLayer"
"C40","C_0402_TE","110.2500","110.2500","19.0500","19.0499","110.7100","19.0499","180","100 nF","TopLayer"
"C39","C_0402_TE","113.6000","113.6001","15.4500","15.4500","113.6001","15.9100","270","100 nF","TopLayer"
"C38","C_0402_TE","107.0000","107.0000","8.8500","8.8499","107.4600","8.8499","180","100 nF","TopLayer"
"C37","C_0402_TE","115.5000","115.5001","12.1600","12.1600","115.5001","12.6200","270","100 nF","TopLayer"
"C36","C_0402_TE","103.8000","103.8001","19.8500","19.8500","103.8001","20.3100","270","100 nF","TopLayer"
"C35","C_0402_TE","101.7000","101.6999","12.4500","12.4500","101.6999","11.9900","90","4.7 µF","TopLayer"
"C96","C_0603","39.5000","39.5000","94.3000","94.3000","38.8000","94.3000","0","470 nF","TopLayer"
"C34","C_0603","98.2000","98.2000","8.9500","8.9500","98.9000","8.9500","180","10 µF","TopLayer"
"C12","C_0603","100.2000","100.2000","7.8500","7.8500","100.2000","8.5500","270","10 µF","TopLayer"
"C3","C_0603","16.3856","16.3856","33.6856","33.6856","15.6856","33.6856","0","470 nF","TopLayer"
"C5","C_0603","4.3714","4.3714","31.2726","31.2726","3.6714","31.2726","0","470 nF","BottomLayer"
"C6","C_0603","8.7740","8.7740","36.8860","36.8860","8.7740","37.5860","270","470 nF","BottomLayer"
"C7","C_0603","7.2162","7.2162","36.9114","36.9114","7.2162","37.6114","270","470 nF","BottomLayer"
"C8","C_0603","12.2422","12.2422","27.5404","27.5404","11.5422","27.5404","0","470 nF","BottomLayer"
"C9","C_0603","13.2106","13.2106","31.1488","31.1488","13.9106","31.1488","180","470 nF","BottomLayer"
"C10","C_0603","4.5746","4.5746","35.2604","35.2604","3.8746","35.2604","0","470 nF","BottomLayer"
"C11","C_0603","7.1272","7.1272","26.7244","26.7244","7.1272","27.4244","270","4.7 µF","BottomLayer"
"C13","C_0603","16.5000","16.5000","34.0380","34.0380","15.8000","34.0380","0","4.7 µF","BottomLayer"
"C14","C_0603","16.5000","16.5000","35.2950","35.2950","15.8000","35.2950","0","470 nF","BottomLayer"
"C15","C_0603","4.4192","4.4192","33.6736","33.6736","3.7192","33.6736","0","470 nF","BottomLayer"
"C16","C_0603","8.9180","8.9180","27.6912","27.6912","8.2180","27.6912","0","470 nF","BottomLayer"
"C18","C_0603","12.4994","12.4994","27.1070","27.1070","12.4994","27.8070","270","470 nF","TopLayer"
"C20","C_0603","12.2200","12.2200","32.5426","32.5426","12.9200","32.5426","180","470 nF","BottomLayer"
"C47","C_0603","112.8041","112.8041","107.9044","107.9044","112.8041","108.6044","270","470 nF","TopLayer"
"C57","C_0603","219.3616","219.3616","107.8430","107.8430","219.3616","108.5430","270","470 nF","TopLayer"
"C67","C_0603","203.8226","203.8226","107.5389","107.5389","203.8226","108.2389","270","470 nF","TopLayer"
"C71","C_0603","1.9000","1.9000","107.3000","107.3000","1.9000","106.6000","90","470 nF","BottomLayer"
"C87B","C_0603_TE","33.4000","33.4000","92.0000","92.0000","32.6300","92.0000","90","2.2 µF","TopLayer"
"C87A","C_0603_TE","46.7150","46.7150","12.7000","12.7000","46.7150","13.4700","0","2.2 µF","TopLayer"
"C86B","C_0603_TE","33.5000","33.5000","97.0000","97.0000","32.7300","97.0000","90","100 nF","TopLayer"
"C86A","C_0603_TE","51.7150","51.7150","12.6000","12.6000","51.7150","13.3700","180","100 nF","BottomLayer"
"C143B","C_0603_TE","123.7900","123.7900","114.7300","114.7300","123.7900","115.5000","0","100 nF","TopLayer"
"C143A","C_0603_TE","123.7900","123.7900","103.7300","103.7300","123.7900","104.5000","0","100 nF","TopLayer"
"C95D","C_0603_TE","134.1860","134.1860","117.7800","117.7800","134.1860","118.5500","0","47 pF","TopLayer"
"C94D","C_0603_TE","132.7860","132.7860","117.7800","117.7800","132.7860","118.5500","0","4.7 nF","TopLayer"
"C91D","C_0603_TE","143.7860","143.7860","119.6800","119.6800","143.7860","120.4500","0","100 nF","TopLayer"
"C90D","C_0603_TE","144.1860","144.1860","116.3800","116.3800","144.1860","115.6100","180","100 nF","TopLayer"
"C88D","C_0603_TE","142.7860","142.7860","115.3800","115.3800","142.7860","114.6100","180","100 nF","TopLayer"
"C113B","C_0603_TE","5.0000","5.0000","48.0000","48.0000","5.7700","48.0000","90","100 pF","BottomLayer"
"C112B","C_0603_TE","5.5000","5.5000","49.5000","49.5000","6.2700","49.5000","90","100 pF","BottomLayer"
"C87E","C_0603_TE","184.3200","184.3200","81.6000","81.6000","184.3200","82.3700","0","2.2 µF","TopLayer"
"C87D","C_0603_TE","153.8400","153.8400","81.6000","81.6000","153.8400","82.3700","0","2.2 µF","TopLayer"
"C87C","C_0603_TE","136.2600","136.2600","81.6000","81.6000","136.2600","82.3700","0","2.2 µF","TopLayer"
"C86E","C_0603_TE","189.3200","189.3200","81.5000","81.5000","189.3200","82.2700","0","100 nF","TopLayer"
"C86D","C_0603_TE","158.8400","158.8400","81.5000","81.5000","158.8400","82.2700","0","100 nF","TopLayer"
"C86C","C_0603_TE","141.2600","141.2600","81.5000","81.5000","141.2600","82.2700","0","100 nF","TopLayer"
"C115","C_0603_TE","2.0000","2.0000","87.0000","87.0000","2.7700","87.0000","90","4.7 µF","BottomLayer"
"C114","C_0603_TE","2.0000","2.0000","91.0000","91.0000","1.2300","91.0000","270","4.7 µF","BottomLayer"
"C95C","C_0603_TE","192.9973","192.9973","9.0609","9.0609","192.9973","8.2909","180","47 pF","TopLayer"
