UZgenMPN,LCSC Part Number
,
UZgen_C_0603_100nF_50V_X7R,C14663
UZgen_C_0603_10uF_6.3V_X7R,C109454
UZgen_C_0603_220nF_50V_X7R,C107083
UZgen_C_0805_47uF_6.3V_X7R,C16780
UZgen_C_1206_47uF_25V_X7R,C76659
UZgen_C_1206_10uF_50V_X7R,C89632
UZgen_C_0603_2.2uF_50V_X7R,C913904
UZgen_C_0402_10nF_16V_X7R,C85735
UZgen_C_0402_100nF_50V_X7R,C77020
UZgen_C_0603_2.2nF_50V_X7R,C16033
UZgen_C_0603_4.7uF_16V_X5R,C19666
UZgen_C_0603_100pF_50V_X7R,C160903
UZgen_R_0603_220R,C22962
UZgen_R_0603_10k,C25804
UZgen_R_0603_1k,C21190
UZgen_R_0603_100R,C22775
UZgen_R_0603_4k7,C23162
UZgen_R_0603_2k7,C13167
UZgen_R_0603_1k2,C22765
UZgen_R_0603_33R,C23140
UZgen_R_0603_470R,C23179
UZgen_R_0603_1k5,C22843
UZgen_R_0603_47k,C25819
UZgen_R_0402_8k06,C25923
UZgen_R_1206_0R,C17888
UZgen_R_0603_20k,C4184
UZgen_R_0603_2k,C22975
UZgen_R_0603_31k6,C25967
UZgen_R_0603_1k6,C22847
UZgen_R_0603_412k,C23050
UZgen_R_0603_2k2,C4190
UZgen_R_0603_3k,C4211
UZgen_R_0603_30k,C22984
UZgen_R_0603_120k,C25808
UZgen_R_0603_200k,C25811
UZgen_R_0603_200R,C8218
UZgen_R_0603_3k6,C22980
UZgen_R_0603_51k,C23196
UZgen_R_0603_12k,C114659
UZgen_R_0603_68k,C23231
UZgen_LED_0603_Red,C94869
UZgen_LED_0603_Green,C125101
UZgen_LED_0603_Blue,C99290
