"Quantity","Comment","Designator","Manufacturer","Value","Description","Footprint","Voltage","Dielectric","Manufacturer Part Number","LCSC Part Number"
"1","CR1220-2","B1","Q&J","","Battery base CR1220 SMD Button And Strip Battery Connector ROHS","CR1220","","","CR1220-2","C70381"
"11","100 µF","C1, C46, C48, C49, C56, C58, C59, C66, C68, C69, C108","Samsung Electro-Mechanics","100 µF","6.3V 100uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC","C_1206_TE","","","CL31A107MQHNNNE","C15008"
"8","10 nF","C2, C97, C100, C101, C149, C150, C151, C152","Murata Electronics","10 nF","16V 10nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","16V","","GRM155R71C103KA01D","C85735"
"17","470 nF","C3, C5, C6, C7, C8, C9, C10, C14, C15, C16, C18, C20, C47, C57, C67, C71, C96","Samsung Electro-Mechanics","470 nF","Capacitor 0603, 50 VDC, 470 nF, X5R","C_0603_TE","","","CL10A474KB8NNNC","C170149"
"138","100 nF","C4, C22A, C22B, C22C, C22D, C22E, C23A, C23B, C23C, C23D, C23E, C24A, C24B, C24C, C24D, C24E, C25A, C25B, C25C, C25D, C25E, C30A, C30B, C30C, C30D, C30E, C31A, C31B, C31C, C31D, C31E, C32A, C32B, C32C, C32D, C32E, C34A, C34B, C34C, C34D, C34E, C38A, C38B, C38C, C38D, C38E, C39A, C39B, C39C, C39D, C39E, C39F, C39G, C39H, C45, C55, C65, C74A, C74B, C74C, C74D, C74E, C75A, C75B, C75C, C75D, C75E, C76A, C76B, C76C, C76D, C76E, C76F, C76G, C76H, C79A, C79B, C79C, C79D, C79E, C79F, C79G, C79H, C80A, C80B, C80C, C80D, C80E, C80F, C80G, C80H, C82, C83, C84, C86A, C86AD-A, C86AD-B, C86AD-C, C86AD-D, C86AD-E, C86AD-F, C86AD-G, C86AD-H, C86B, C86BP-A, C86BP-B, C86C, C87, C88A, C88B, C88C, C88D, C90A, C90B, C90C, C90D, C91A, C91B, C91C, C91D, C103, C105, C107, C109, C111, C118, C119, C120, C122, C123, C125, Cj1, Cj2, Cm2A, Cm2B, Ct2, Ct4A, Ct4B","YAGEO","100 nF","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50 V, 50V","","CC0603KRX7R9BB104","C14663"
"62","10 µF","C4A, C4B, C4C, C4D, C4E, C12A, C12B, C12C, C12D, C12E, C17, C19, C26A, C26B, C26C, C26D, C26E, C27A, C27B, C27C, C27D, C27E, C28A, C28B, C28C, C28D, C28E, C29A, C29B, C29C, C29D, C29E, C33A, C33B, C33C, C33D, C33E, C35A, C35B, C35C, C35D, C35E, C37A, C37B, C37C, C37D, C37E, C40A, C40B, C40C, C40D, C40E, C73A, C73B, C73C, C73D, C73E, C102, C104, C106, C110, C116","YAGEO","10 µF","6.3V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","6.3V","","CC0603MRX5R5BB106","C109454"
"11","4.7 µF","C11, C13, C98, C99, C114, C115, Ci1, Ci2, Ci3, Ci10, Ci13","Samsung Electro-Mechanics","4.7 µF","16V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","16V","","CL10A475KO8NNNC","C19666"
"4","220 nF","C21, C50, C60, C70","YAGEO","220 nF","50V 220nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V, 50 V","","CC0603KRX7R9BB224","C107083"
"32","10 µF","C36A, C36B, C36C, C36D, C36E, C36F, C36G, C36H, C77A, C77B, C77C, C77D, C77E, C77F, C77G, C77H, C78A, C78B, C78C, C78D, C78E, C78F, C78G, C78H, C81A, C81B, C81C, C81D, C81E, C81F, C81G, C81H","Samsung Electro-Mechanics","10 µF","Capacitor 0603, 16 VDC, 10 µF, X5R","C_0603_TE","","","CL10A106MO8NQNC","C92487"
"22","10 µF","C41, C42, C43, C44, C51, C52, C53, C54, C61, C62, C63, C64, C89A, C89B, C89C, C89D, C121, C145, C146, C147, Ct3A, Ct3B","Samsung Electro-Mechanics","10 µF","50V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206_TE","50V","","CL31B106KBHNNNE","C89632"
