Altium Designer Pick and Place Locations
C:\Users\UltraZohm\Documents\ultrazohm\uz_carrierboard\Project Outputs for UZ_CarrierBoard\06\Pick Place\Pick Place for UZ_CarrierBoard(Rev06Batch00).csv

========================================================================================================================
File Design Information:

Date:       24/07/25
Time:       12:12
Revision:   1c120e7c70c70107c06c8f46a040766083e5f82f
Variant:    Rev06Batch00
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X16","104031-0811","9.7650","9.7725","118.4000","118.4750","6.6100","123.9250","180","104031-0811","TopLayer"
"X14","1757242","328.7000","324.7000","111.6000","111.6000","324.7000","109.0600","90","1757242","TopLayer"
"Ui3","2016","101.2000","101.2000","21.8000","21.8000","100.6000","22.5500","0","SIT8008BI-73-XXS-12.000000G","TopLayer"
"SW2","416131160804","59.8650","59.8650","111.9000","111.9000","61.7700","108.0900","180","DSHP04TS-S","BottomLayer"
"SW3","416131160804","52.9600","52.9600","111.9000","111.9000","54.8650","108.0900","180","DSHP04TS-S","BottomLayer"
"SW1","416131160804","66.8000","66.8000","111.9000","111.9000","68.7050","108.0900","180","DSHP04TS-S","BottomLayer"
"Xt1B","470531000","122.2900","121.2100","116.0000","112.1900","122.2900","116.0000","90","47053-1000-PWM4FAN","BottomLayer"
"Xt1A","470531000","122.2900","121.2100","105.0000","101.1900","122.2900","105.0000","90","47053-1000-PWM4FAN","BottomLayer"
"U10","7TO-PMOD","108.9715","108.9716","116.6759","114.6284","105.1616","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"U11","7TO-PMOD","215.4375","215.4376","116.6759","114.6284","211.6276","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"U12","7TO-PMOD","200.1115","200.1116","116.6759","114.6284","196.3016","110.9759","90","LMZ23605TZX/NOPB","TopLayer"
"C164","C_0402_TE","172.3500","172.3500","49.9899","49.9900","171.8900","49.9900","0","100 nF","TopLayer"
"C163","C_0402_TE","172.3500","172.3500","49.2901","49.2901","171.8900","49.2901","0","100 nF","TopLayer"
"C162","C_0402_TE","46.9750","46.9750","49.8900","49.8900","46.9750","49.4300","90","100 nF","TopLayer"
"C161","C_0402_TE","46.2750","46.2749","49.8900","49.8900","46.2749","49.4300","90","100 nF","TopLayer"
"C160","C_0402_TE","141.8700","141.8700","49.9899","49.9900","141.4100","49.9900","0","100 nF","TopLayer"
"C159","C_0402_TE","141.8700","141.8700","49.2901","49.2901","141.4100","49.2901","0","100 nF","TopLayer"
"C158","C_0402_TE","48.4750","48.4750","51.8900","51.8900","48.4750","51.4300","90","100 nF","TopLayer"
"C157","C_0402_TE","47.7750","47.7749","51.8900","51.8900","47.7749","51.4300","90","100 nF","TopLayer"
"C152","C_0402_TE","180.6630","180.6629","50.0700","50.0700","180.6629","50.5300","270","10 nF","BottomLayer"
"C151","C_0402_TE","181.3630","181.3629","50.0700","50.0700","181.3629","50.5300","270","10 nF","BottomLayer"
"C150","C_0402_TE","150.1830","150.1829","50.0700","50.0700","150.1829","50.5300","270","10 nF","BottomLayer"
"C149","C_0402_TE","150.8830","150.8829","50.0700","50.0700","150.8829","50.5300","270","10 nF","BottomLayer"
"C101","C_0402_TE","119.7030","119.7029","50.0700","50.0700","119.7029","50.5300","270","10 nF","BottomLayer"
"C100","C_0402_TE","120.4030","120.4029","50.0700","50.0700","120.4029","50.5300","270","10 nF","BottomLayer"
"C97","C_0402_TE","42.9720","42.9721","88.3000","88.3000","42.9721","88.7600","270","10 nF","TopLayer"
"C2","C_0402_TE","42.2720","42.2721","88.3000","88.3000","42.2721","88.7600","270","10 nF","TopLayer"
"Ci21","C_0402_TE","113.4600","113.4600","34.0000","33.9999","113.9200","33.9999","180","100 nF","TopLayer"
"Ci20","C_0402_TE","113.4600","113.4600","21.0000","21.0001","113.0000","21.0001","0","100 nF","TopLayer"
"Ci19","C_0402_TE","122.3500","122.3500","34.3000","34.2999","121.8900","34.2999","0","100 nF","BottomLayer"
"Ci18","C_0402_TE","122.3500","122.3500","21.0000","21.0001","122.8100","21.0001","180","100 nF","BottomLayer"
"Ci17","C_0402_TE","110.8500","110.8500","35.0000","35.0000","110.3900","35.0000","0","100 nF","BottomLayer"
"Ci16","C_0402_TE","110.3500","110.3500","21.2400","21.2401","110.8100","21.2401","180","100 nF","BottomLayer"
"Ci15","C_0402_TE","105.5000","105.5000","23.3500","23.3499","105.9600","23.3499","180","100 nF","TopLayer"
"Ci14","C_0402_TE","99.4000","99.3999","21.5000","21.5000","99.3999","21.0400","90","100 nF","TopLayer"
"Ci12","C_0402_TE","113.0000","113.0000","20.0500","20.0499","113.4600","20.0499","180","100 nF","TopLayer"
"Ci11","C_0402_TE","102.7000","102.7001","16.4500","16.4500","102.7001","16.9100","270","100 nF","TopLayer"
"Ci4","C_0402_TE","103.1000","103.0999","12.4500","12.4500","103.0999","11.9900","90","100 nF","TopLayer"
"Ci9","C_0402_TE","110.2500","110.2500","19.0500","19.0499","110.7100","19.0499","180","100 nF","TopLayer"
"Ci8","C_0402_TE","113.6000","113.6001","15.4500","15.4500","113.6001","15.9100","270","100 nF","TopLayer"
"Ci7","C_0402_TE","107.0000","107.0000","8.8500","8.8499","107.4600","8.8499","180","100 nF","TopLayer"
"Ci6","C_0402_TE","115.5000","115.5001","12.1600","12.1600","115.5001","12.6200","270","100 nF","TopLayer"
"Ci5","C_0402_TE","103.8000","103.8001","20.0000","20.0000","103.8001","20.4600","270","100 nF","TopLayer"
"C156","C_0402_TE","111.3900","111.3900","49.9899","49.9900","110.9300","49.9900","0","100 nF","TopLayer"
"C155","C_0402_TE","111.3900","111.3900","49.2899","49.2900","110.9300","49.2900","0","100 nF","TopLayer"
"C154","C_0402_TE","49.9750","49.9750","49.8900","49.8900","49.9750","49.4300","90","100 nF","TopLayer"
"C153","C_0402_TE","49.2750","49.2749","49.8900","49.8900","49.2749","49.4300","90","100 nF","TopLayer"
"C87","C_0603_TE","6.7250","6.7250","78.5000","78.5000","7.4950","78.5000","90","100 nF","BottomLayer"
"C86C","C_0603_TE","4.0400","4.0400","69.4000","69.4000","4.0400","68.6300","180","100 nF","TopLayer"
"C86B","C_0603_TE","4.0400","4.0400","63.9000","63.9000","4.0400","64.6700","0","100 nF","TopLayer"
"C86A","C_0603_TE","4.0400","4.0400","60.6500","60.6500","4.0400","59.8800","180","100 nF","TopLayer"
"C81H","C_0603_TE","324.7000","324.7000","81.0000","81.0000","324.7000","81.7700","0","10 µF","TopLayer"
"C81G","C_0603_TE","294.2199","294.2199","80.7000","80.7000","294.2199","81.4700","0","10 µF","TopLayer"
"C81F","C_0603_TE","263.7399","263.7399","80.7000","80.7000","263.7399","81.4700","0","10 µF","TopLayer"
"C81E","C_0603_TE","233.2600","233.2600","80.7000","80.7000","233.2600","81.4700","0","10 µF","TopLayer"
"C81D","C_0603_TE","202.7800","202.7800","80.7000","80.7000","202.7800","81.4700","0","10 µF","TopLayer"
"C81C","C_0603_TE","172.3000","172.3000","76.7000","76.7000","172.3000","77.4700","0","10 µF","TopLayer"
"C81B","C_0603_TE","143.7200","143.7200","87.0000","87.0000","144.4901","87.0000","270","10 µF","TopLayer"
"C81A","C_0603_TE","111.3400","111.3400","77.6400","77.6400","111.3400","78.4100","0","10 µF","TopLayer"
"C80H","C_0603_TE","325.9000","325.9000","81.0000","81.0000","325.9000","80.2300","180","100 nF","TopLayer"
"C80G","C_0603_TE","295.4201","295.4201","80.7000","80.7000","295.4201","79.9300","180","100 nF","TopLayer"
"C80F","C_0603_TE","264.9401","264.9401","80.7000","80.7000","264.9401","79.9300","180","100 nF","TopLayer"
"C80E","C_0603_TE","234.4600","234.4600","80.7000","80.7000","234.4600","79.9300","180","100 nF","TopLayer"
"C80D","C_0603_TE","203.9800","203.9800","80.7000","80.7000","203.9800","79.9300","180","100 nF","TopLayer"
"C80C","C_0603_TE","173.5001","173.5000","76.7000","76.7000","173.5000","75.9300","180","100 nF","TopLayer"
"C80B","C_0603_TE","143.7200","143.7200","85.8000","85.8000","142.9501","85.8000","90","100 nF","TopLayer"
"C80A","C_0603_TE","112.5401","112.5400","77.6400","77.6400","112.5400","76.8700","180","100 nF","TopLayer"
"C79H","C_0603_TE","323.2200","323.2200","84.2000","84.2000","323.9900","84.2000","270","100 nF","TopLayer"
"C79G","C_0603_TE","292.7400","292.7400","83.9000","83.9000","293.5100","83.9000","270","100 nF","TopLayer"
"C79F","C_0603_TE","262.2600","262.2600","83.9000","83.9000","263.0300","83.9000","270","100 nF","TopLayer"
"C79E","C_0603_TE","231.7800","231.7800","83.9000","83.9000","232.5500","83.9000","270","100 nF","TopLayer"
"C79D","C_0603_TE","201.3000","201.3000","83.9000","83.9000","202.0700","83.9000","270","100 nF","TopLayer"
"C79C","C_0603_TE","170.8200","170.8200","79.9000","79.9000","171.5900","79.9000","270","100 nF","TopLayer"
"C79B","C_0603_TE","146.9200","146.9200","88.4800","88.4800","146.9200","87.7100","180","100 nF","TopLayer"
"C79A","C_0603_TE","109.8600","109.8600","80.8400","80.8400","110.6300","80.8400","270","100 nF","TopLayer"
"C78H","C_0603_TE","323.2200","323.2200","85.4000","85.4000","322.4500","85.4000","90","10 µF","TopLayer"
"C78G","C_0603_TE","292.7400","292.7400","85.1000","85.1000","291.9700","85.1000","90","10 µF","TopLayer"
"C78F","C_0603_TE","262.2600","262.2600","85.1000","85.1000","261.4900","85.1000","90","10 µF","TopLayer"
"C78E","C_0603_TE","231.7800","231.7800","85.1000","85.1000","231.0100","85.1000","90","10 µF","TopLayer"
"C78D","C_0603_TE","201.3000","201.3000","85.1000","85.1000","200.5300","85.1000","90","10 µF","TopLayer"
"C78C","C_0603_TE","170.8200","170.8200","81.1000","81.1000","170.0500","81.1000","90","10 µF","TopLayer"
"C78B","C_0603_TE","148.1200","148.1201","88.4800","88.4800","148.1201","89.2500","0","10 µF","TopLayer"
"C78A","C_0603_TE","109.8600","109.8600","82.0400","82.0400","109.0900","82.0400","90","10 µF","TopLayer"
"C77H","C_0603_TE","334.1000","334.1000","81.7000","81.7000","334.1000","80.9300","180","10 µF","TopLayer"
"C77G","C_0603_TE","303.6200","303.6200","81.7000","81.7000","303.6200","80.9300","180","10 µF","TopLayer"
"C77F","C_0603_TE","273.1400","273.1400","81.7000","81.7000","273.1400","80.9300","180","10 µF","TopLayer"
"C77E","C_0603_TE","242.6600","242.6600","81.7000","81.7000","242.6600","80.9300","180","10 µF","TopLayer"
"C77D","C_0603_TE","212.1800","212.1800","81.7000","81.7000","212.1800","80.9300","180","10 µF","TopLayer"
"C77C","C_0603_TE","181.7000","181.7000","77.7000","77.7000","181.7000","76.9300","180","10 µF","TopLayer"
"C77B","C_0603_TE","155.2200","155.2200","77.7000","77.7000","155.2200","76.9300","180","10 µF","TopLayer"
"C77A","C_0603_TE","120.7400","120.7400","77.7000","77.7000","120.7400","76.9300","180","10 µF","TopLayer"
