Altium Designer Pick and Place Locations
H:\UZ_repos\carrier\Project Outputs for UltraZOhm_CarrierBoard\Pick Place\PickPlace_UltraZOhm_CarrierBoard_4v00.csv

========================================================================================================================
File Design Information:

Date:       16.11.20
Time:       13:54
Revision:   0da6881b0d715b603c73a7828b626e0c4c33902c
Variant:    Standard
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C118","100nF","TopLayer","C_0603(1608)100_L","179.8000","106.6000","180","Capacitor 0603"
"C117","100nF","TopLayer","C_0603(1608)100_L","177.3000","106.6000","360","Capacitor 0603"
"C125","100nF","TopLayer","C_0603(1608)100_L","63.5000","29.2000","180","Capacitor 0603"
"C124","100nF","TopLayer","C_0603(1608)100_L","61.0000","29.2000","360","Capacitor 0603"
"C123","100nF","TopLayer","C_0603(1608)100_L","40.2000","113.9000","270","Capacitor 0603"
"C122","100nF","TopLayer","C_0603(1608)100_L","54.4000","106.4000","270","Capacitor 0603"
"C101","100nF","TopLayer","C_0603(1608)100_L","37.5000","16.6000","360","Capacitor 0603"
"C100","100nF","TopLayer","C_0603(1608)100_L","39.9000","16.6000","180","Capacitor 0603"
"C75","100nF","TopLayer","C_0603(1608)100_L","218.5274","14.5832","360","Capacitor 0603"
"C76","100nF","TopLayer","C_0603(1608)100_L","234.0214","14.5832","360","Capacitor 0603"
"C110","100nF","TopLayer","C_0603(1608)100_L","132.4864","56.1848","90","Capacitor 0603"
"C111","100nF","TopLayer","C_0603(1608)100_L","133.6802","56.1848","270","Capacitor 0603"
"C4","100nF","BottomLayer","C_0603(1608)100_L","5.8312","64.9638","360","Capacitor 0603"
"C22A","100nF","BottomLayer","C_0603(1608)100_L","204.5968","54.3355","180","Capacitor 0603"
"C22B","100nF","BottomLayer","C_0603(1608)100_L","235.0768","54.3355","180","Capacitor 0603"
"C22C","100nF","BottomLayer","C_0603(1608)100_L","265.5568","54.3355","180","Capacitor 0603"
"C22D","100nF","BottomLayer","C_0603(1608)100_L","296.0368","54.3355","180","Capacitor 0603"
"C22E","100nF","BottomLayer","C_0603(1608)100_L","326.5168","54.3355","180","Capacitor 0603"
"C23A","100nF","BottomLayer","C_0603(1608)100_L","198.9875","65.4072","270","Capacitor 0603"
"C23B","100nF","BottomLayer","C_0603(1608)100_L","229.4675","65.4072","270","Capacitor 0603"
"C23C","100nF","BottomLayer","C_0603(1608)100_L","259.9475","65.4072","270","Capacitor 0603"
"C23D","100nF","BottomLayer","C_0603(1608)100_L","290.4275","65.4072","270","Capacitor 0603"
"C23E","100nF","BottomLayer","C_0603(1608)100_L","320.9075","65.4072","270","Capacitor 0603"
"C24A","100nF","BottomLayer","C_0603(1608)100_L","205.6128","74.1475","270","Capacitor 0603"
"C24B","100nF","BottomLayer","C_0603(1608)100_L","236.0928","74.1475","270","Capacitor 0603"
"C24C","100nF","BottomLayer","C_0603(1608)100_L","266.5728","74.1475","270","Capacitor 0603"
"C24D","100nF","BottomLayer","C_0603(1608)100_L","297.0528","74.1475","270","Capacitor 0603"
"C24E","100nF","BottomLayer","C_0603(1608)100_L","327.5328","74.1475","270","Capacitor 0603"
"C25A","100nF","TopLayer","C_0603(1608)100_L","214.2300","38.1350","360","Capacitor 0603"
"C25B","100nF","TopLayer","C_0603(1608)100_L","244.7100","38.1350","360","Capacitor 0603"
"C25C","100nF","TopLayer","C_0603(1608)100_L","275.1900","38.1350","360","Capacitor 0603"
"C25D","100nF","TopLayer","C_0603(1608)100_L","305.6700","38.1350","360","Capacitor 0603"
